PERIODO,DEPARTAMENTO,garbage_3,garbage_value
2016,LIMA,QRESIDUOS_DOM,2160253.2
2016,LIMA,QRESIDUOS_MUN,3086076.6
2016,LIMA,QRESIDUOS_NO_DOM,925822.78
2016,LORETO,QRESIDUOS_DOM,150052.09
2016,LORETO,QRESIDUOS_MUN,214360.5
2016,LORETO,QRESIDUOS_NO_DOM,64308.03
2016,MADRE DE DIOS,QRESIDUOS_DOM,19473.89
2016,MADRE DE DIOS,QRESIDUOS_MUN,27819.8
2016,MADRE DE DIOS,QRESIDUOS_NO_DOM,8345.95
2016,MOQUEGUA,QRESIDUOS_DOM,24692.159999999996
2016,MOQUEGUA,QRESIDUOS_MUN,35274.9
2016,MOQUEGUA,QRESIDUOS_NO_DOM,10582.380000000001
2016,PASCO,QRESIDUOS_DOM,26295.74
2016,PASCO,QRESIDUOS_MUN,37565.5
2016,PASCO,QRESIDUOS_NO_DOM,11269.65
2016,PIURA,QRESIDUOS_DOM,275419.6
2016,PIURA,QRESIDUOS_MUN,393456.6
2016,PIURA,QRESIDUOS_NO_DOM,118036.95
2016,PUNO,QRESIDUOS_DOM,114858.64
2016,PUNO,QRESIDUOS_MUN,164084.6
2016,PUNO,QRESIDUOS_NO_DOM,49225.18
2016,SAN MARTIN,QRESIDUOS_DOM,109700.45
2016,SAN MARTIN,QRESIDUOS_MUN,156715.5
2016,SAN MARTIN,QRESIDUOS_NO_DOM,47014.51
2016,TACNA,QRESIDUOS_DOM,51299.54
2016,TACNA,QRESIDUOS_MUN,73285.2
2016,TACNA,QRESIDUOS_NO_DOM,21985.52
2016,TUMBES,QRESIDUOS_DOM,36444.11
2016,TUMBES,QRESIDUOS_MUN,52063.1
2016,TUMBES,QRESIDUOS_NO_DOM,15618.91
2016,UCAYALI,QRESIDUOS_DOM,90551.29000000001
2016,UCAYALI,QRESIDUOS_MUN,129358.9
2016,UCAYALI,QRESIDUOS_NO_DOM,38807.69
2017,AMAZONAS,QRESIDUOS_DOM,36003.39
2017,AMAZONAS,QRESIDUOS_MUN,51434.3
2017,AMAZONAS,QRESIDUOS_NO_DOM,15429.97
2017,ANCASH,QRESIDUOS_DOM,146091.6
2017,ANCASH,QRESIDUOS_MUN,208703.6
2017,ANCASH,QRESIDUOS_NO_DOM,62610.68
2017,APURIMAC,QRESIDUOS_DOM,40392.59
2017,APURIMAC,QRESIDUOS_MUN,57704.2
2017,APURIMAC,QRESIDUOS_NO_DOM,17311.15
2017,AREQUIPA,QRESIDUOS_DOM,210551.61
2017,AREQUIPA,QRESIDUOS_MUN,300789.1
2017,AREQUIPA,QRESIDUOS_NO_DOM,90236.37
2017,AYACUCHO,QRESIDUOS_DOM,81706.29
2017,AYACUCHO,QRESIDUOS_MUN,116723.8
2017,AYACUCHO,QRESIDUOS_NO_DOM,35017.0
2017,CAJAMARCA,QRESIDUOS_DOM,99967.14
2017,CAJAMARCA,QRESIDUOS_MUN,142811.5
2017,CAJAMARCA,QRESIDUOS_NO_DOM,42843.060000000005
2017,CALLAO,QRESIDUOS_DOM,228384.53999999998
2017,CALLAO,QRESIDUOS_MUN,326263.7
2017,CALLAO,QRESIDUOS_NO_DOM,97879.08
2017,CUSCO,QRESIDUOS_DOM,156747.73
2017,CUSCO,QRESIDUOS_MUN,223925.6
2017,CUSCO,QRESIDUOS_NO_DOM,67177.57
2017,HUANCAVELICA,QRESIDUOS_DOM,24780.07
2017,HUANCAVELICA,QRESIDUOS_MUN,35400.9
2017,HUANCAVELICA,QRESIDUOS_NO_DOM,10620.08
2017,HUANUCO,QRESIDUOS_DOM,59532.350000000006
2017,HUANUCO,QRESIDUOS_MUN,85046.5
2017,HUANUCO,QRESIDUOS_NO_DOM,25513.85
2017,ICA,QRESIDUOS_DOM,131804.27
2017,ICA,QRESIDUOS_MUN,188291.8
2017,ICA,QRESIDUOS_NO_DOM,56487.520000000004
2017,JUNIN,QRESIDUOS_DOM,178267.99
2017,JUNIN,QRESIDUOS_MUN,254669.1
2017,JUNIN,QRESIDUOS_NO_DOM,76400.57
2017,LA LIBERTAD,QRESIDUOS_DOM,272369.61
2017,LA LIBERTAD,QRESIDUOS_MUN,389099.8
2017,LA LIBERTAD,QRESIDUOS_NO_DOM,116729.85
2017,LAMBAYEQUE,QRESIDUOS_DOM,213775.71
2017,LAMBAYEQUE,QRESIDUOS_MUN,305393.89999999997
