PERIODO,PROVINCIA,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN,ORDEN
2014,JORGE BASADRE,9234,5484,3750,1.38,928.53,397.95,1326.47,102
2014,JULCAN,31529,4572,26957,1.8,749.86,321.37,1071.22,103
2014,JUNIN,26220,18585,7635,1.67,2602.98,1115.56,3718.55,104
2014,LA CONVENCION,179775,56379,123396,5.76,13059.93,5597.1,18657.01,105
2014,LA MAR,87430,35942,51488,4.06,6242.65,2675.42,8918.07,106
2014,LA UNION,14789,7138,7651,4.95,1170.47,501.62,1672.1,107
2014,LAMAS,84597,39690,44907,6.68,8665.04,3713.58,12378.63,108
2014,LAMBAYEQUE,293841,144440,149401,5.83,26397.24,11313.11,37710.34,109
2014,LAMPA,51366,19770,31596,4.41,3090.77,1324.6,4415.36,110
2014,LAURICOCHA,38543,8871,29672,2.83,1287.17,551.66,1838.82,111
2014,LEONCIO PRADO,132352,88371,43981,3.3,17232.14,7385.21,24617.34,112
2014,LIMA,8751741,8738261,13480,30.25,1979689.6,848438.4,2828128,113
2014,LORETO,70689,29551,41138,3.06,6636.4,2844.17,9480.6,114
2014,LUCANAS,67739,40295,27444,9.52,6958.65,2982.26,9940.93,115
2014,LUYA,51989,20859,31130,12.12,4272.96,1831.27,6104.23,116
2014,MANU,23710,7664,16046,2.44,1703.02,729.87,2432.88,117
2014,MARAÃ‘ON,31612,5374,26238,1.42,939.11,402.47,1341.58,118
2014,MARISCAL CACERES,50927,31277,19650,2.97,6196.84,2655.8,8852.63,119
2014,MARISCAL LUZURIAGA,23804,2940,20864,3.6,482.02,206.57,688.59,120
2014,MARISCAL NIETO,80600,70005,10595,2.67,11363.51,4870.08,16233.59,121
2014,MARISCAL RAMON CASTILLA,70974,21271,49703,2.26,4347.54,1863.23,6210.75,122
2014,MAYNAS,547459,442903,104556,7.11,98742.02,42318.01,141060.04,123
2014,MELGAR,77111,36113,40998,4.4,6747.34,2891.71,9639.04,124
2014,MOHO,25907,7488,18419,1.8,1227.97,526.27,1754.25,125
