PERIODO,PROVINCIA,N_SEC,UBIGEO,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN
2014,UCAYALI,8835,963621,72726,39663,33063,3.45,7479.45,3205.49,10684.94
2014,URUBAMBA,5579,569128,64041,32552,31489,3.27,5764.69,2470.57,8235.28
2014,UTCUBAMBA,567,74928,118714,51865,66849,3.69,10700.59,4585.9800000000005,15286.550000000001
2014,VICTOR FAJARDO,6510,612078,23662,17523,6139,5.4,2873.4500000000003,1231.49,4104.92
2014,VILCAS HUAMAN,4420,408836,23282,7172,16110,4.03,1640.01,702.86,2342.87
2014,VIRU,3666,393606,111559,85981,25578,1.3,13939.8,5974.21,19914.0
2014,YAROWILCA,7764,808836,33406,8392,25014,3.6,1376.03,589.71,1965.76
2014,YAULI,11265,1208055,43384,37596,5788,4.47,5527.63,2368.98,7896.6
2014,YAUYOS,46728,4983561,27588,15850,11738,14.81,2564.0099999999998,1098.84,3662.88
2014,YUNGAY,1972,176036,58457,14032,44425,3.5100000000000002,2208.06,946.32,3154.37
2014,YUNGUYO,12012,1479128,47658,17585,30073,3.22,3200.76,1371.75,4572.52
2014,ZARUMILLA,7338,961210,52092,47161,4931,2.1,9940.66,4260.28,14200.960000000001
2015,ABANCAY,18954,270945,106214,67836,38378,4.0600000000000005,11408.449999999999,4889.33,16297.77
2015,ACOBAMBA,21436,721636,78634,23499,55135,3.46,3651.88,1565.08,5216.97
2015,ACOMAYO,17899,561428,27693,14556,13137,2.95,2188.48,937.91,3126.36
2015,AIJA,9750,101015,7789,2458,5331,2.1,366.71,157.17000000000002,523.9
2015,ALTO AMAZONAS,19863,961235,120221,71247,48974,4.04,17210.26,7375.83,24586.09
2015,AMBO,22180,801636,57239,19131,38108,3.39,3024.4,1296.17,4320.58
2015,ANDAHUAYLAS,42410,604210,168056,78468,89588,9.33,14221.18,6094.78,20315.96
2015,ANGARAES,32274,1083678,63255,17234,46021,5.14,2646.5899999999997,1134.25,3780.83
2015,ANTA,23085,722745,56302,20002,36300,3.63,3205.21,1373.6699999999998,4578.89
2015,ANTABAMBA,14938,212128,13397,9369,4028,2.91,1391.56,596.38,1987.97
2015,ANTONIO RAYMONDI,11733,121821,16401,4202,12199,2.55,639.24,273.96,913.2
2015,AREQUIPA,63771,1163335,969284,943879,25405,13.17,165986.67,71137.13,237123.86
2015,ASCOPE,24156,1041636,120311,105795,14516,3.8600000000000003,20241.07,8674.75,28915.78
2015,ASUNCIÓN,3919,40803,8795,2366,6429,0.86,369.59,158.39999999999998,527.98
2015,ATALAYA,14842,1000810,53819,19277,34542,2.32,4252.73,1822.59,6075.31
2015,AYABACA,34245,2002055,140757,15864,124893,4.55,2395.84,1026.79,3422.62
2015,AYMARAES,36482,516953,32995,14045,18950,7.64,2354.98,1009.28,3364.28
2015,AZANGARO,52455,3153120,136819,38085,98734,6.05,5976.21,2561.2200000000003,8537.42
2015,BAGUA,11253,61221,76921,35964,40957,3.49,7206.12,3088.32,10294.46
2015,BARRANCA,15855,751015,146241,124610,21631,2.83,25679.83,11005.64,36685.46
2015,BELLAVISTA,21555,1321221,58954,29412,29542,3.3,5995.84,2569.64,8565.48
2015,BOLIVAR,18159,781821,16575,5656,10919,2.58,883.4300000000001,378.62,1262.05
2015,BOLOGNESI,29520,307620,32873,21140,11733,6.1,2695.83,1155.3700000000001,3851.1800000000003
2015,BONGARA,22614,123678,33920,19837,14083,7.1,4153.8099999999995,1780.22,5934.02
2015,CAJABAMBA,9702,240810,80261,19675,60586,1.5899999999999999,2435.12,1043.62,3478.73
2015,CAJAMARCA,29010,721278,388140,224637,163503,5.4,44945.08,19262.18,64207.259999999995
2015,CAJATAMBO,15880,751515,7828,4421,3407,2.15,690.75,296.03,986.8
2015,CALCA,20588,643236,74195,26518,47677,3.66,4426.110000000001,1896.9,6322.98
2015,CALLAO,17794,490728,1013935,1013935,0,4.36,241205.15,103373.64,344578.78
2015,CAMANA,17740,321636,58952,48169,10783,4.09,9948.94,4263.82,14212.8
2015,CANAS,20652,644036,39293,6269,33024,3.53,1059.28,453.97,1513.24
2015,CANCHIS,20716,644836,102151,62159,39992,3.3099999999999996,11760.9,5040.39,16801.3
2015,CANDARAVE,22047,1381221,8095,5280,2815,2.54,811.3,347.7,1158.99
2015,CANGALLO,13875,301221,33786,11835,21951,2.42,1722.18,738.0799999999999,2460.25
2015,CANTA,22274,1052828,15122,6330,8792,2.9699999999999998,1052.57,451.12,1503.6799999999998
2015,CARABAYA,35095,2103055,95390,37970,57420,4.57,6288.75,2695.19,8983.94
2015,CARAVELI,28964,523991,40904,24865,16039,5.51,3833.83,1643.0700000000002,5476.91
2015,CARHUAZ,21791,226666,47097,16039,31058,4.78,2672.5899999999997,1145.4,3817.98
2015,CARLOS FERMIN FITZCARRALD,5964,62106,21831,3485,18346,1.06,497.2,213.08,710.27
