,PERIODO,UBIGEO,REG_NAT,DEPARTAMENTO,PROVINCIA,DISTRITO,garbage_3,garbage_value
78,2015,21210,SIERRA,ANCASH,HUAYLAS,YURACMARCA,QRESIDUOS_DOM,73.8
79,2016,21210,SIERRA,ANCASH,HUAYLAS,YURACMARCA,QRESIDUOS_DOM,73.27
80,2017,21210,SIERRA,ANCASH,HUAYLAS,YURACMARCA,QRESIDUOS_DOM,72.64
81,2018,21210,SIERRA,ANCASH,HUAYLAS,YURACMARCA,QRESIDUOS_DOM,75.42
82,2019,21210,SIERRA,ANCASH,HUAYLAS,YURACMARCA,QRESIDUOS_DOM,77.16
83,2020,21210,SIERRA,ANCASH,HUAYLAS,YURACMARCA,QRESIDUOS_DOM,75.41
84,2021,21210,SIERRA,ANCASH,HUAYLAS,YURACMARCA,QRESIDUOS_DOM,74.52
85,2014,40128,SIERRA,AREQUIPA,AREQUIPA,YURA,QRESIDUOS_DOM,3652.99
86,2015,40128,SIERRA,AREQUIPA,AREQUIPA,YURA,QRESIDUOS_DOM,4442.29
87,2016,40128,SIERRA,AREQUIPA,AREQUIPA,YURA,QRESIDUOS_DOM,2885.43
88,2017,40128,SIERRA,AREQUIPA,AREQUIPA,YURA,QRESIDUOS_DOM,3044.39
89,2018,40128,SIERRA,AREQUIPA,AREQUIPA,YURA,QRESIDUOS_DOM,4546.08
90,2019,40128,SIERRA,AREQUIPA,AREQUIPA,YURA,QRESIDUOS_DOM,5594.21
91,2020,40128,SIERRA,AREQUIPA,AREQUIPA,YURA,QRESIDUOS_DOM,6030.94
92,2021,40128,SIERRA,AREQUIPA,AREQUIPA,YURA,QRESIDUOS_DOM,6209.59
93,2014,20907,SIERRA,ANCASH,CORONGO,YUPAN,QRESIDUOS_DOM,144.7
94,2015,20907,SIERRA,ANCASH,CORONGO,YUPAN,QRESIDUOS_DOM,142.1
95,2016,20907,SIERRA,ANCASH,CORONGO,YUPAN,QRESIDUOS_DOM,144.66
96,2017,20907,SIERRA,ANCASH,CORONGO,YUPAN,QRESIDUOS_DOM,147
97,2018,20907,SIERRA,ANCASH,CORONGO,YUPAN,QRESIDUOS_DOM,105.02
98,2019,20907,SIERRA,ANCASH,CORONGO,YUPAN,QRESIDUOS_DOM,110.87
99,2020,20907,SIERRA,ANCASH,CORONGO,YUPAN,QRESIDUOS_DOM,110.33
100,2021,20907,SIERRA,ANCASH,CORONGO,YUPAN,QRESIDUOS_DOM,108.89
101,2014,211301,SIERRA,PUNO,YUNGUYO,YUNGUYO,QRESIDUOS_DOM,2208.09
102,2015,211301,SIERRA,PUNO,YUNGUYO,YUNGUYO,QRESIDUOS_DOM,1719.87
103,2016,211301,SIERRA,PUNO,YUNGUYO,YUNGUYO,QRESIDUOS_DOM,1709.72
104,2017,211301,SIERRA,PUNO,YUNGUYO,YUNGUYO,QRESIDUOS_DOM,1207.75
105,2018,211301,SIERRA,PUNO,YUNGUYO,YUNGUYO,QRESIDUOS_DOM,1245.74
106,2019,211301,SIERRA,PUNO,YUNGUYO,YUNGUYO,QRESIDUOS_DOM,1551.05
107,2020,211301,SIERRA,PUNO,YUNGUYO,YUNGUYO,QRESIDUOS_DOM,1495.68
108,2021,211301,SIERRA,PUNO,YUNGUYO,YUNGUYO,QRESIDUOS_DOM,1501.57
109,2014,22001,SIERRA,ANCASH,YUNGAY,YUNGAY,QRESIDUOS_DOM,1471.14
110,2015,22001,SIERRA,ANCASH,YUNGAY,YUNGAY,QRESIDUOS_DOM,2120.53
111,2016,22001,SIERRA,ANCASH,YUNGAY,YUNGAY,QRESIDUOS_DOM,2135.55
112,2017,22001,SIERRA,ANCASH,YUNGAY,YUNGAY,QRESIDUOS_DOM,2150.03
113,2018,22001,SIERRA,ANCASH,YUNGAY,YUNGAY,QRESIDUOS_DOM,2358.65
114,2019,22001,SIERRA,ANCASH,YUNGAY,YUNGAY,QRESIDUOS_DOM,1155.94
115,2020,22001,SIERRA,ANCASH,YUNGAY,YUNGAY,QRESIDUOS_DOM,1142.48
116,2021,22001,SIERRA,ANCASH,YUNGAY,YUNGAY,QRESIDUOS_DOM,1493.96
117,2014,20611,SIERRA,ANCASH,CARHUAZ,YUNGAR,QRESIDUOS_DOM,104.74
118,2015,20611,SIERRA,ANCASH,CARHUAZ,YUNGAR,QRESIDUOS_DOM,100.28
119,2016,20611,SIERRA,ANCASH,CARHUAZ,YUNGAR,QRESIDUOS_DOM,100.92
120,2017,20611,SIERRA,ANCASH,CARHUAZ,YUNGAR,QRESIDUOS_DOM,101.39
121,2018,20611,SIERRA,ANCASH,CARHUAZ,YUNGAR,QRESIDUOS_DOM,115.3
122,2019,20611,SIERRA,ANCASH,CARHUAZ,YUNGAR,QRESIDUOS_DOM,118.54
123,2020,20611,SIERRA,ANCASH,CARHUAZ,YUNGAR,QRESIDUOS_DOM,115.59
124,2021,20611,SIERRA,ANCASH,CARHUAZ,YUNGAR,QRESIDUOS_DOM,114.03
125,2014,180211,SIERRA,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,QRESIDUOS_DOM,283.08
126,2015,180211,SIERRA,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,QRESIDUOS_DOM,282.88
127,2016,180211,SIERRA,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,QRESIDUOS_DOM,289.63
128,2017,180211,SIERRA,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,QRESIDUOS_DOM,296.35
129,2018,180211,SIERRA,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,QRESIDUOS_DOM,85.66
130,2019,180211,SIERRA,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,QRESIDUOS_DOM,84.67
131,2020,180211,SIERRA,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,QRESIDUOS_DOM,77.8
132,2021,180211,SIERRA,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,QRESIDUOS_DOM,73.23
133,2015,81307,SIERRA,CUSCO,URUBAMBA,YUCAY,QRESIDUOS_DOM,498.72
134,2016,81307,SIERRA,CUSCO,URUBAMBA,YUCAY,QRESIDUOS_DOM,366.99
135,2017,81307,SIERRA,CUSCO,URUBAMBA,YUCAY,QRESIDUOS_DOM,370.84
136,2018,81307,SIERRA,CUSCO,URUBAMBA,YUCAY,QRESIDUOS_DOM,502.72
137,2019,81307,SIERRA,CUSCO,URUBAMBA,YUCAY,QRESIDUOS_DOM,493.7
138,2020,81307,SIERRA,CUSCO,URUBAMBA,YUCAY,QRESIDUOS_DOM,496.69
139,2021,81307,SIERRA,CUSCO,URUBAMBA,YUCAY,QRESIDUOS_DOM,499.08
140,2014,220808,SELVA,SAN MARTIN,RIOJA,YORONGOS,QRESIDUOS_DOM,556.2
141,2015,220808,SELVA,SAN MARTIN,RIOJA,YORONGOS,QRESIDUOS_DOM,534.18
142,2016,220808,SELVA,SAN MARTIN,RIOJA,YORONGOS,QRESIDUOS_DOM,544.28
143,2017,220808,SELVA,SAN MARTIN,RIOJA,YORONGOS,QRESIDUOS_DOM,552.33
144,2018,220808,SELVA,SAN MARTIN,RIOJA,YORONGOS,QRESIDUOS_DOM,449.43
145,2019,220808,SELVA,SAN MARTIN,RIOJA,YORONGOS,QRESIDUOS_DOM,312.62
146,2020,220808,SELVA,SAN MARTIN,RIOJA,YORONGOS,QRESIDUOS_DOM,305.73
147,2021,220808,SELVA,SAN MARTIN,RIOJA,YORONGOS,QRESIDUOS_DOM,300.65
148,2015,60508,COSTA,CAJAMARCA,CONTUMAZA,YONAN,QRESIDUOS_DOM,325.32
149,2016,60508,COSTA,CAJAMARCA,CONTUMAZA,YONAN,QRESIDUOS_DOM,1013.87
150,2017,60508,COSTA,CAJAMARCA,CONTUMAZA,YONAN,QRESIDUOS_DOM,1013.48
151,2018,60508,COSTA,CAJAMARCA,CONTUMAZA,YONAN,QRESIDUOS_DOM,596.12
152,2019,60508,COSTA,CAJAMARCA,CONTUMAZA,YONAN,QRESIDUOS_DOM,596.82
153,2020,60508,COSTA,CAJAMARCA,CONTUMAZA,YONAN,QRESIDUOS_DOM,587.75
154,2021,60508,COSTA,CAJAMARCA,CONTUMAZA,YONAN,QRESIDUOS_DOM,821.67
155,2014,160403,SELVA,LORETO,MARISCAL RAMON CASTILLA,YAVARI,QRESIDUOS_DOM,750.81
156,2015,160403,SELVA,LORETO,MARISCAL RAMON CASTILLA,YAVARI,QRESIDUOS_DOM,745.33
157,2016,160403,SELVA,LORETO,MARISCAL RAMON CASTILLA,YAVARI,QRESIDUOS_DOM,758.44
158,2017,160403,SELVA,LORETO,MARISCAL RAMON CASTILLA,YAVARI,QRESIDUOS_DOM,771.1
